name,price,url
Laptoptas 2 in 1 Laptop Rugtas Schoudertas voor inch laptop,199.00,/nl/nl/p/laptoptas-2-in-1-laptop-rugtas-schoudertas-voor-17-3-inch-laptop-grijs/9200000110729937/
The North Face Connector Rugzak - 27 liter - Grijs,199.00,/nl/nl/p/the-north-face-connector-rugzak-27-liter-grijs/9300000006520978/
Omnistow - Handbagage rugzak - 51x33x20cm - Cabin approved backpack - Zwart - 45L,199.00,/nl/nl/p/omnistow-handbagage-rugzak-51x33x20cm-cabin-approved-backpack-zwart-45l/9200000117673310/
Fjällräven Kånken Unisex Rugzak - Warm Yellow,199.00,/nl/nl/p/fjallraven-kanken-unisex-rugzak-warm-yellow/9200000059381641/
"Eastpak ORBIT Rugzak, 10 Liter - Black",199.00,/nl/nl/p/eastpak-orbit-rugzak-10-liter-black/9200000039902671/
"Rugtas - Rugzak - 30 Liter - 15,6"" Laptopvak - Boekentas - Vintage - Heren - Dames - Laptop - School - Boekentas - Roze",199.00,/nl/nl/p/rugtas-rugzak-30-liter-15-6-laptopvak-boekentas-vintage-heren-dames-laptop-school-boekentas-roze/9300000051725815/
Schildpadden Peuterrugzak,199.00,/nl/nl/p/schildpadden-peuterrugzak/9300000086387770/
"Eastpak PROVIDER Rugzak, 33 Liter, 15 inch laptopvak - Black",199.00,/nl/nl/p/eastpak-provider-rugzak-33-liter-15-inch-laptopvak-black/9200000039804950/
VIO Products - roltop rugzak - waterdicht - anti-diefstal - met USB - laptop - duurzaam - gemaakt van gerecyclede petflessen - fietsrugzak - 18 tot 26 liter - zwart,199.00,/nl/nl/p/vio-products-roltop-rugzak-waterdicht-anti-diefstal-met-usb-laptop-duurzaam-gemaakt-van-gerecyclede-petflessen-fietsrugzak-18-tot-26-liter-zwart/9300000139279096/
Samsonite - Guardit 2.0 inch,199.00,/nl/nl/p/samsonite-laptoprugzak-guardit-2-0-laptop-backpack-17-3-inch-black/9200000101520774/
Pia Ries Rugtas Dames 6010 Tropical Leer - Multicolor,199.00,/nl/nl/p/pia-ries-rugtas-dames-6010-tropical-leer-multicolor/9200000072035668/
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,199.00,/nl/nl/p/ticaba-taylor-rugzak-voor-school-werk-reizen-rugtas-voor-dames-heren-en-jongens-meisjes-backpack-zwart/9300000008329379/
Laptoptas 2 in 1 Laptop Rugtas Schoudertas voor inch laptop,199.00,/nl/nl/p/laptoptas-2-in-1-laptop-rugtas-schoudertas-voor-17-3-inch-laptop-blauw/9300000031562937/
LOL Surprise Rugzak Meisjes Eenhoorn - Hoogte 31cm,199.00,/nl/nl/p/lol-surprise-rugzak-meisjes-eenhoorn-hoogte-31cm/9200000120344288/
"Eastpak PROVIDER Rugzak, 33 Liter, 15 inch laptopvak - Black Denim",199.00,/nl/nl/p/eastpak-provider-rugzak-33-liter-15-inch-laptopvak-black-denim/9200000039902673/
"Anti-diefstal rugzak - Rugtas dames - Waterdicht - Klein - Anti-theft backpack - Rug-, Schouder-, Handtas in één - zacht PU-leer - incl. verstelbare riem – Glennoo",199.00,/nl/nl/p/anti-diefstal-rugzak-rugtas-dames-waterdicht-klein-anti-theft-backpack-rug-schouder-handtas-in-een-zacht-pu-leer-incl-verstelbare-riem-glennoo/9200000112824193/
Gymtas 12 liter - Zwart - Gratis Verzonden,199.00,/nl/nl/p/gymtas-12-liter-zwart-gratis-verzonden/9300000061803013/
The North Face Borealis Mini Rugzak Unisex,199.00,/nl/nl/p/the-north-face-borealis-mini-rugzak-unisex/9300000055743328/
"Accezz Rugzak 18L - Laptoptas 15.6 inch - Schooltas met handige opbergvakken - Dames, Heren, Jongens, Meisjes - Zwart",199.00,/nl/nl/p/accezz-rugzak-18l-laptoptas-15-6-inch-schooltas-met-handige-opbergvakken-dames-heren-jongens-meisjes-zwart/9300000046266895/
Enrico Benetti Cordoba rugzak - rugzak middelbare school - rugzak jongens - rugzak heren - boekentas - 19 liter - zwart,199.00,/nl/nl/p/enrico-benetti-cordoba-rugzak-rugzak-middelbare-school-rugzak-jongens-rugzak-heren-boekentas-19-liter-zwart/9300000005921284/
"Glennoo rugzak - Rugtas dames - Waterdicht - Klein - Anti-theft Vakje - Rug-, Schouder-, Handtas in één - zacht PU-leer",199.00,/nl/nl/p/glennoo-rugzak-rugtas-dames-waterdicht-klein-anti-theft-vakje-rug-schouder-handtas-in-een-zacht-pu-leer/9300000073663985/
Miss LuLu Rugzak - Dames Rugtas - Kwalitatieve Kunstleren Rug Tas - 15 Liter - Zwart (E1669 BK),199.00,/nl/nl/p/miss-lulu-rugzak-dames-rugtas-kwalitatieve-kunstleren-rug-tas-15-liter-zwart/9200000062967596/
Rains Rugzak,199.00,/nl/nl/p/rains-rugzak-13-liter-zwart/9300000075741204/
"TRVLMORE Rugzak - 36 L - 17,3 inch - Laptop Rugtas - Waterafstotend - Antraciet",199.00,/nl/nl/p/trvlmore-rugzak-36-l-17-3-inch-laptop-rugtas-waterafstotend-antraciet/9300000075666340/
"TRVLMORE Rugzak - 36 L - 17,3 inch - Laptop Rugtas - Waterafstotend - Blauw",199.00,/nl/nl/p/trvlmore-rugzak-36-l-17-3-inch-laptop-rugtas-waterafstotend-blauw/9300000006777449/
Simple Lifestyle® Roblox Rugtas Kinderrugzak Schooltas Rugzak Laptoptas - Blauw - 18 liter - 3 ritsvakken,199.00,/nl/nl/p/simple-lifestyle-roblox-rugtas-kinderrugzak-schooltas-rugzak-laptoptas-blauw-18-liter-3-ritsvakken/9300000010765968/
"Eastpak PADDED PAK'R Rugzak, 24 Liter - City Grain Navy",199.00,/nl/nl/p/eastpak-padded-pak-r-rugzak-24-liter-city-grain-navy/9300000100345984/
Ajax Rugtas Away Rood / Blauw Klein 22-23 - Kleine Rugzak ideaal om mee te nemen!,199.00,/nl/nl/p/ajax-rugtas-away-rood-blauw-klein-22-23-kleine-rugzak-ideaal-om-mee-te-nemen/9300000122411317/
Accezz Rugzak 10L - Laptoptas 15.6 Inch - Veilige laptop rugzak met extra bescherming en 7 handige opbergvakken - Zwart,199.00,/nl/nl/p/accezz-rugzak-10l-laptoptas-15-6-inch-veilige-laptop-rugzak-met-extra-bescherming-en-7-handige-opbergvakken-zwart/9300000046266898/
"AG Rugzak & laptoptas - ZWART- rugtas -Geschikt voor 15.6 inch laptop - 26L - laptopvak - laptoptassen Anti Diefstal waterafstotend - voor dames, heren, jongens en meisjes - Inclusief Usb Oplaadstation - Zwart",199.00,/nl/nl/p/ag-rugzak-laptoptas-zwart-rugtas-geschikt-voor-15-6-inch-laptop-26l-laptopvak-laptoptassen-anti-diefstal-waterafstotend-voor-dames-heren-jongens-en-meisjes-inclusief-usb-oplaadstation-zwart/9300000135603848/
Fjällräven Kånken Unisex Rugzak - Black,199.00,/nl/nl/p/fjallraven-kanken-unisex-rugzak-black/9200000028408576/
"Eastpak BACK TO WORK Rugzak, 26 Liter, 15 inch laptopvak - Triple Denim",199.00,/nl/nl/p/eastpak-back-to-work-rugzak-26-liter-15-inch-laptopvak-triple-denim/9200000101076568/
Skooter Rugzak - l - Blauw,199.00,/nl/nl/p/skooter-dinogames-rugzak-schooltas-jongen-blauw-dino/9300000009922973/
Milky Kiss Just For Me Rugzak Meisje - Rugtas Kind - Geel - Hartjes,199.00,/nl/nl/p/milky-kiss-just-for-me-rugzak-meisje-rugtas-kind-geel-hartjes/9300000076088876/
Marvel Rugzak Spidey Power Spider-man 28 X 22 Cm Blauw,199.00,/nl/nl/p/marvel-rugzak-spidey-power-spider-man-28-x-22-cm-blauw/9200000131809303/
Travel Tiger Laptop Rugzak – Laptop Rugtas - 15.6 Inch – 39 Liter - Waterbestendig – Inclusief USB-aansluiting – Zwart,199.00,/nl/nl/p/travel-tiger-laptop-rugzak-laptop-rugtas-15-6-inch-39-liter-waterbestendig-inclusief-usb-aansluiting-zwart/9300000145009476/
"Eastpak TUTOR Rugzak, 39 Liter, 15 inch laptopvak - Sunday Grey",199.00,/nl/nl/p/eastpak-tutor-rugzak-39-liter-15-inch-laptopvak-sunday-grey/9200000051932058/
Schildpadden Peuterrugzak,199.00,/nl/nl/p/schildpadden-peuterrugzak/9300000086387770/
Zebra Trends Laptop Rugzak / Rugtas / Laptoptas / Werktas - Olivia - Roze - 13 inch,199.00,/nl/nl/p/zebra-trends-laptop-rugzak-rugtas-laptoptas-werktas-olivia-roze-13-inch/9300000140521039/
Kidzroom Mini Rugzak Meisje - Rugtas Kind - 2 t/m 6 jaar - Roze - Regenboog - Poes,199.00,/nl/nl/p/kidzroom-mini-rugzak-meisje-rugtas-kind-2-t-m-6-jaar-roze-regenboog-poes/9200000128436167/
