sku,rating,good points,bad points
B42A190035,"[10, 8, 8]","['Hij ligt goed op de rug en heeft zijvakken in de brede heupband, wat erg praktisch is. Ook is er veel ventilatieruimte tussen de rug en de tas, wat erg comfortabel is bij warm weer.', 'Op zich prima rugzak voor meerdaagse tochten.']","['Een uitrekbaar buitenvak aan de voorkant voor eten of je jas.', 'Het vak voor de waterzak zou beter bereikbaar moeten zijn als de tas gevuld is. Optie rits aan achterkant. Een klein vakje op de draagriem zoals bij Osprey 26 zou ook fijn zijn.', ""Zakjes op de heupbanden zijn erg klein en worden 'afgeklemd'  door aantrekband.\nZodra je hem op hebt krijg je er met moeite iets in of uit.\n\nVerder mis ik geleiders voor de slang van de waterzak.""]"
B42A190035,"[9, 9, 8]","['Ik weet t nog niet \nNog niet gebruikt i.v.m de warmte', 'Alles, heerlijk licht op de heupen, goede regenhoes en een handig sluitsysteem. Ook het frame is er handig waardoor de rugzak niet direct tegen je rugzak zit geplakt.']","['Het is echt wel bizar duur vergeleken met alle andere backpacks', 'Erg duur.']"
B42A190035,"[10, 9, 8]","['Licht, draagcomfort, verstelbaar, plakt niet aan je rug.']",['Niet kunnen ontdekken']
NAACE00041,"[8, 10, 9]","['Genoeg opbergruimte en veel vakjes en zakjes, heel handig dus!', 'kwaliteit van het materiaal en de indeling van de tas. Mogelijkheden om uitrusting op te bergen', 'perfecte maat als dagrugzak, veel stel-mogelijkheden. Mooi ook!']","['rugventilatie', 'Ik miste de regenzak functie.']"
B42A690030,"[10, 10]",['Het zit perfect bij kleine kinderen door de borstriem'],['Tot nu toe nog niet ontdekt.']
NAACE00033,[8],"['Fijne rugzak, die zeer hoe op je rug zit voor een pittige bergwandelen']",['Allen benaderbaar vanaf bovenkant.']
NAACE10016,"[7, 7, 9]",['Ruime dagrugzak. Voelt comfortabel met dragen.'],"['Zakken aan de zijkant zijn niet diep genoeg, als je ze voor een bidon wil gebruiken kunnen ze er gemakkelijk uitvallen. Misschien een open mesh zak aan de voorkant van de rugzak waar je snel wat spullen in kwijt kan.', 'Het zal fijn zijn als er een goede duidelijke gebruiksaanwijzing bij zit.']"
B42A390452,"[9, 8]","['Compacte rugzak met de juiste inhoud. Draagt licht en comfortabel.', 'Mooi compact, zonder overbodige franje. Ik ben er blij mee.']","['Nog niet ontdekt', 'Geen']"
B42A390104,"[8, 8, 8]","['Heel fijn', 'Goede pasvorm\nLicht\nVeel vakken']","['Nee', 'Tot nu toe niet']"
NABBF00001,[8],['Veel ruimte en goed af te sluiten'],[]
B42A390607,"[8, 8, 9]","['Deze rugzak blijft staan als je hem afdoet!', 'Het is een fijne tas om mee te nemen naar het werk, met laptopvak, en hij is waterdicht. Hij heeft een groot vak, een kleiner vak en een vakje voor telefoon, ov-kaart e.d.\nHet is een overzichtelijke tas.', 'Goed stevig frame en een goede doorluchting. Handige vakjes.']","['De heupband is wat zwak in de aansluiting bij de rugzak', 'Geen minpunten', 'Minder flexibel dan de Osprey Quasar, en mijn laptop past er dus niet in']"
B42A390089,"[8, 7, 10]","['Waarvoor ik hem wil gebruiken is hij prima. \nDrinkfles kan mee en ben blij met de draagbanden', 'Compact en er kan toch veel in.\nFijn dat er ook een ritsvak aan de binnenkant zit. ‘Elegante’ rugzak.']","['Nog niet tegen gekomen', 'Het taps toelopen van de rugzak heeft als nadeel dat je een laptop niet helemaal tot onderin kunt wegstoppen ! hierdoor zul je op die punten eerder slijtage krijgen', 'Geen']"
B42A390089,"[10, 9, 8]","[""Een zeer sterke lichtgewicht met genoeg inhoud voor een dagtrip of stevige hike. Speciale compartiment scheiding voor een tablet of kleine laptop en appart vak voor kleinere zaken.\n\nFijn draagcomfort ook voor de bredere rug en snel weer droog. Verstevigd rugpand met ventilatie ribbels voorkomen een zweterige rug. \n\nApparte bevestigingsmogelijkheid voor hikingpole's naast de twee drinkfles houders van elastisch webbing."", 'Mooi formaat rugzak voor dagtochten in de bergen', 'Nvt']","['Ik heb er geen kunnen bedenken. Ik ben dik tevreden en zou hem zo weer nemen.', 'De lusjes voor stokken zitten op dezelfde plek als waar je je flessen water kunt stoppen', 'Nvt']"
