name,review,image
New Rebels Mart Waterproof Rugzak - Zwart,"Geschreven bij New Rebels® Mart - Rugtas - Grijs - Waterbestendig - 1312108 - 17L - 28x39x16cm - Rugzak / Backpack
Zoals beschreven. Zeer tevreden",https://media.s-bol.com/VAZ3pqJEwAGz/550x550.jpg
Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Roze (E1401 UN-PK),"Geschreven bij Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Blauw (E1401 UN-BE)
Hele leuke tas voor een zeer redelijke prijs!!",https://media.s-bol.com/g7NXYL9qo18G/VmE0RZ5/539x840.jpg
Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Roze (E1401 UN-PK),"Geschreven bij Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Blauw (E1401 UN-BE)
Voor mijn dochter van 6 een goede rugzak. Hij leek wat aan de brede kant, maar dat valt mee als je er spullen in hebt zitten. Zit goed om haar rug!",https://media.s-bol.com/g7NXYL9qo18G/VmE0RZ5/539x840.jpg
Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Roze (E1401 UN-PK),"Geschreven bij Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Blauw (E1401 UN-BE)
Gekocht voor mijn dochter van 9 voor school. Hele mooie en stevig rugzak. Snelle levering, echt top",https://media.s-bol.com/g7NXYL9qo18G/VmE0RZ5/539x840.jpg
Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Roze (E1401 UN-PK),"Geschreven bij Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Blauw (E1401 UN-BE)
Een hele mooie stevige tas.  Goed van kwaliteit.  Mijn meisje is er blij mee en klaar voor een volgend schooljaar",https://media.s-bol.com/g7NXYL9qo18G/VmE0RZ5/539x840.jpg
Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Roze (E1401 UN-PK),"Geschreven bij Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Blauw (E1401 UN-BE)
Mooie rugzak en goede kwaliteit.. ideaal voor een kind van 6 jaar.",https://media.s-bol.com/g7NXYL9qo18G/VmE0RZ5/539x840.jpg
Miss Lulu Rugzak - Schooltas - Rugtas Unicorn - Schoolrugzak Unisex/Jongens/Meisjes - Roze (E1401 UN-PK),Mooie tas!,https://media.s-bol.com/g7NXYL9qo18G/VmE0RZ5/539x840.jpg
GoPa Fortnite Kinder rugzak | 18 Liter | rugtas | schooltas | Gaming,"Geschreven bij GoPa Fortnite Kinderrugzak 18 liter
Goede kwaliteit en snelle levering zoals beloofd",https://media.s-bol.com/gJvP7M0oBxMk/550x540.jpg
GoPa Fortnite Kinder rugzak | 18 Liter | rugtas | schooltas | Gaming,"Geschreven bij GoPa Fortnite Kinderrugzak 18 liter
Mooie tas met mogelijkheden",https://media.s-bol.com/gJvP7M0oBxMk/550x540.jpg
GoPa Fortnite Kinder rugzak | 18 Liter | rugtas | schooltas | Gaming,"Geschreven bij GoPa Fortnite Kinderrugzak 18 liter
Wat ik vooral goed vind: handig in gebruik, goede kwaliteit.",https://media.s-bol.com/gJvP7M0oBxMk/550x540.jpg
GoPa Fortnite Kinder rugzak | 18 Liter | rugtas | schooltas | Gaming,"Geschreven bij GoPa Fortnite Kinderrugzak 18 liter
Als je fan bent van Fortnite, moet je deze zeker hebben. Het is goeie tas. Mijn stiefzoon is er blij mee. Hij is erg fan van Fortnite.",https://media.s-bol.com/gJvP7M0oBxMk/550x540.jpg
GoPa Fortnite Kinder rugzak | 18 Liter | rugtas | schooltas | Gaming,Mooie en ruime tas!,https://media.s-bol.com/gJvP7M0oBxMk/550x540.jpg
GoPa Fortnite Kinder rugzak | 18 Liter | rugtas | schooltas | Gaming,"Ik kocht deze voor mijn zoontje van 8 jaar. Hij is er dol op!Hij is heel stevig, zit mooi rond zijn schouders, handige opbergzakken. Top!",https://media.s-bol.com/gJvP7M0oBxMk/550x540.jpg
Beagles Originals Kids Adventures Rugzak tablet - Roze zebra,"Geschreven bij Beagles Originals Kids Adventures - Rugzak - Vliegtuig print
Mooie en stevige kwaliteit voor een kleine prijs. Rugzak heeft ook een goede grootte. Ik vind rugzakjes voor kleuters vaak te klein om een brooddoos, drinkbus, reservekledij… in mee te nemen",https://media.s-bol.com/7A7KvqNVg7EA/550x795.jpg
